300 89700
1 2 171
1 3 452
1 4 415
1 5 529
1 6 448
1 7 218
1 8 426
1 9 880
1 10 685
1 11 849
1 12 991
1 13 626
1 14 290
1 15 598
1 16 169
1 17 732
1 18 178
1 19 281
1 20 991
1 21 896
1 22 339
1 23 58
1 24 88
1 25 148
1 26 994
1 27 164
1 28 1
1 29 805
1 30 575
1 31 732
1 32 12
1 33 92
1 34 11
1 35 155
1 36 627
1 37 970
1 38 46
1 39 645
1 40 48
1 41 965
1 42 595
1 43 909
1 44 270
1 45 56
1 46 345
1 47 129
1 48 636
1 49 905
1 50 112
1 51 646
1 52 973
1 53 984
1 54 661
1 55 43
1 56 673
1 57 401
1 58 5
1 59 530
1 60 317
1 61 453
1 62 383
1 63 814
1 64 703
1 65 225
1 66 432
1 67 868
1 68 398
1 69 772
1 70 269
1 71 282
1 72 160
1 73 670
1 74 468
1 75 108
1 76 848
1 77 9
1 78 182
1 79 369
1 80 678
1 81 100
1 82 869
1 83 666
1 84 930
1 85 451
1 86 383
1 87 546
1 88 470
1 89 820
1 90 395
1 91 550
1 92 694
1 93 371
1 94 387
1 95 125
1 96 757
1 97 250
1 98 703
1 99 807
1 100 190
1 101 114
1 102 387
1 103 358
1 104 271
1 105 418
1 106 797
1 107 776
1 108 751
1 109 498
1 110 230
1 111 346
1 112 811
1 113 761
1 114 38
1 115 160
1 116 332
1 117 515
1 118 969
1 119 770
1 120 870
1 121 241
1 122 725
1 123 905
1 124 916
1 125 358
1 126 965
1 127 420
1 128 319
1 129 772
1 130 233
1 131 892
1 132 979
1 133 755
1 134 561
1 135 551
1 136 156
1 137 960
1 138 711
1 139 446
1 140 23
1 141 611
1 142 310
1 143 42
1 144 312
1 145 159
1 146 347
1 147 650
1 148 162
1 149 972
1 150 775
1 151 372
1 152 532
1 153 830
1 154 198
1 155 481
1 156 783
1 157 294
1 158 882
1 159 406
1 160 302
1 161 226
1 162 572
1 163 749
1 164 257
1 165 28
1 166 843
1 167 995
1 168 856
1 169 377
1 170 984
1 171 855
1 172 721
1 173 515
1 174 635
1 175 390
1 176 227
1 177 392
1 178 668
1 179 360
1 180 921
1 181 196
1 182 49
1 183 462
1 184 378
1 185 82
1 186 656
1 187 365
1 188 112
1 189 135
1 190 296
1 191 743
1 192 384
1 193 877
1 194 409
1 195 702
1 196 31
1 197 848
1 198 175
1 199 277
1 200 678
1 201 74
1 202 28
1 203 943
1 204 921
1 205 457
1 206 806
1 207 277
1 208 367
1 209 388
1 210 11
1 211 219
1 212 623
1 213 141
1 214 929
1 215 602
1 216 600
1 217 816
1 218 581
1 219 849
1 220 736
1 221 914
1 222 754
1 223 46
1 224 6
1 225 814
1 226 576
1 227 781
1 228 826
1 229 706
1 230 390
1 231 436
1 232 194
1 233 789
1 234 898
1 235 853
1 236 711
1 237 759
1 238 817
1 239 543
1 240 306
1 241 903
1 242 527
1 243 859
1 244 800
1 245 336
1 246 442
1 247 808
1 248 651
1 249 184
1 250 99
1 251 427
1 252 500
1 253 746
1 254 196
1 255 880
1 256 380
1 257 957
1 258 45
1 259 719
1 260 679
1 261 672
1 262 211
1 263 964
1 264 241
1 265 585
1 266 287
1 267 931
1 268 197
1 269 824
1 270 52
1 271 982
1 272 388
1 273 518
1 274 507
1 275 612
1 276 499
1 277 891
1 278 507
1 279 551
1 280 252
1 281 662
1 282 974
1 283 798
1 284 269
1 285 820
1 286 948
1 287 767
1 288 478
1 289 54
1 290 927
1 291 953
1 292 145
1 293 394
1 294 253
1 295 807
1 296 924
1 297 854
1 298 530
1 299 726
1 300 500
2 3 131
2 4 284
2 5 340
2 6 719
2 7 647
2 8 385
2 9 517
2 10 282
2 11 492
2 12 933
2 13 751
2 14 389
2 15 58
2 16 611
2 17 862
2 18 922
2 19 406
2 20 732
2 21 178
2 22 41
2 23 680
2 24 475
2 25 621
2 26 296
2 27 97
2 28 21
2 29 364
2 30 610
2 31 316
2 32 602
2 33 990
2 34 757
2 35 238
2 36 679
2 37 317
2 38 172
2 39 527
2 40 734
2 41 314
2 42 228
2 43 405
2 44 422
2 45 784
2 46 315
2 47 504
2 48 55
2 49 722
2 50 352
2 51 850
2 52 658
2 53 540
2 54 575
2 55 239
2 56 83
2 57 565
2 58 715
2 59 586
2 60 909
2 61 487
2 62 935
2 63 19
2 64 121
2 65 679
2 66 120
2 67 782
2 68 792
2 69 565
2 70 386
2 71 229
2 72 266
2 73 448
2 74 928
2 75 472
2 76 563
2 77 479
2 78 546
2 79 464
2 80 993
2 81 686
2 82 471
2 83 578
2 84 226
2 85 233
2 86 351
2 87 962
2 88 285
2 89 331
2 90 506
2 91 242
2 92 204
2 93 481
2 94 800
2 95 340
2 96 341
2 97 952
2 98 756
2 99 476
2 100 569
2 101 691
2 102 765
2 103 646
2 104 838
2 105 65
2 106 494
2 107 114
2 108 837
2 109 117
2 110 866
2 111 728
2 112 752
2 113 264
2 114 202
2 115 93
2 116 328
2 117 588
2 118 406
2 119 911
2 120 756
2 121 167
2 122 284
2 123 27
2 124 83
2 125 104
2 126 369
2 127 983
2 128 162
2 129 170
2 130 849
2 131 113
2 132 348
2 133 253
2 134 478
2 135 503
2 136 442
2 137 14
2 138 550
2 139 332
2 140 618
2 141 434
2 142 323
2 143 415
2 144 300
2 145 169
2 146 489
2 147 976
2 148 246
2 149 891
2 150 543
2 151 971
2 152 310
2 153 25
2 154 184
2 155 479
2 156 612
2 157 567
2 158 74
2 159 980
2 160 120
2 161 898
2 162 599
2 163 564
2 164 855
2 165 764
2 166 462
2 167 353
2 168 216
2 169 850
2 170 236
2 171 703
2 172 167
2 173 616
2 174 232
2 175 970
2 176 244
2 177 318
2 178 287
2 179 888
2 180 653
2 181 381
2 182 330
2 183 861
2 184 904
2 185 559
2 186 852
2 187 714
2 188 750
2 189 535
2 190 613
2 191 694
2 192 395
2 193 903
2 194 220
2 195 777
2 196 208
2 197 687
2 198 416
2 199 575
2 200 436
2 201 827
2 202 208
2 203 382
2 204 637
2 205 305
2 206 173
2 207 169
2 208 835
2 209 829
2 210 569
2 211 565
2 212 612
2 213 250
2 214 100
2 215 124
2 216 634
2 217 126
2 218 453
2 219 427
2 220 345
2 221 125
2 222 948
2 223 811
2 224 805
2 225 158
2 226 942
2 227 779
2 228 917
2 229 443
2 230 809
2 231 378
2 232 517
2 233 907
2 234 639
2 235 103
2 236 73
2 237 596
2 238 991
2 239 115
2 240 961
2 241 27
2 242 323
2 243 824
2 244 577
2 245 642
2 246 954
2 247 132
2 248 738
2 249 789
2 250 666
2 251 890
2 252 136
2 253 909
2 254 308
2 255 349
2 256 811
2 257 836
2 258 11
2 259 674
2 260 880
2 261 403
2 262 872
2 263 798
2 264 19
2 265 750
2 266 215
2 267 178
2 268 408
2 269 34
2 270 798
2 271 239
2 272 153
2 273 436
2 274 554
2 275 558
2 276 392
2 277 655
2 278 757
2 279 87
2 280 593
2 281 311
2 282 687
2 283 956
2 284 753
2 285 909
2 286 187
2 287 654
2 288 512
2 289 314
2 290 689
2 291 646
2 292 388
2 293 890
2 294 603
2 295 700
2 296 638
2 297 723
2 298 140
2 299 497
2 300 468
3 4 621
3 5 969
3 6 299
3 7 580
3 8 785
3 9 280
3 10 739
3 11 294
3 12 342
3 13 138
3 14 16
3 15 718
3 16 159
3 17 227
3 18 52
3 19 717
3 20 603
3 21 344
