100 4950
1 2 203
1 3 275
1 4 237
1 5 693
1 6 590
1 7 409
1 8 541
1 9 627
1 10 532
1 11 402
1 12 584
1 13 555
1 14 296
1 15 732
1 16 218
1 17 783
1 18 457
1 19 234
1 20 162
1 21 384
1 22 477
1 23 428
1 24 824
1 25 210
1 26 436
1 27 626
1 28 41
1 29 549
1 30 40
1 31 382
1 32 492
1 33 119
1 34 242
1 35 62
1 36 756
1 37 298
1 38 107
1 39 597
1 40 255
1 41 781
1 42 770
1 43 707
1 44 567
1 45 75
1 46 598
1 47 150
1 48 840
1 49 505
1 50 914
1 51 778
1 52 291
1 53 656
1 54 895
1 55 470
1 56 29
1 57 423
1 58 501
1 59 215
1 60 683
1 61 88
1 62 549
1 63 913
1 64 572
1 65 93
1 66 286
1 67 674
1 68 393
1 69 445
1 70 68
1 71 669
1 72 677
1 73 906
1 74 18
1 75 832
1 76 479
1 77 401
1 78 754
1 79 960
1 80 51
1 81 315
1 82 560
1 83 999
1 84 478
1 85 602
1 86 606
1 87 571
1 88 507
1 89 870
1 90 73
1 91 45
1 92 54
1 93 870
1 94 292
1 95 678
1 96 135
1 97 68
1 98 267
1 99 646
1 100 189
2 3 201
2 4 175
2 5 996
2 6 35
2 7 15
2 8 712
2 9 828
2 10 954
2 11 585
2 12 403
2 13 240
2 14 612
2 15 901
2 16 208
2 17 842
2 18 832
2 19 640
2 20 67
2 21 892
2 22 430
2 23 288
2 24 221
2 25 333
2 26 608
2 27 52
2 28 418
2 29 292
2 30 638
2 31 207
2 32 383
2 33 836
2 34 819
2 35 832
2 36 140
2 37 27
2 38 947
2 39 72
2 40 53
2 41 576
2 42 769
2 43 384
2 44 701
2 45 644
2 46 176
2 47 405
2 48 938
2 49 583
2 50 101
2 51 388
2 52 751
2 53 671
2 54 363
2 55 371
2 56 778
2 57 123
2 58 944
2 59 490
2 60 589
2 61 951
2 62 431
2 63 129
2 64 96
2 65 435
2 66 605
2 67 809
2 68 695
2 69 288
2 70 420
2 71 997
2 72 8
2 73 783
2 74 840
2 75 258
2 76 322
2 77 406
2 78 288
2 79 419
2 80 97
2 81 825
2 82 675
2 83 670
