100 14850
1 2 8
1 3 310
1 4 172
1 5 703
1 6 40
1 7 266
1 8 989
1 9 241
1 10 348
1 11 606
1 12 264
1 13 348
1 14 785
1 15 465
1 16 772
1 17 124
1 18 709
1 19 696
1 20 826
1 21 140
1 22 775
1 23 258
1 24 415
1 25 66
1 26 723
1 27 609
1 28 361
1 29 407
1 30 782
1 31 156
1 32 742
1 33 543
1 34 542
1 35 46
1 36 56
1 37 481
1 38 403
1 39 862
1 40 857
1 41 994
1 42 966
1 43 1000
1 44 864
1 45 74
1 46 967
1 47 796
1 48 752
1 49 862
1 50 625
1 51 682
1 52 140
1 53 479
1 54 499
1 55 927
1 56 478
1 57 444
1 58 228
1 59 759
1 60 845
1 61 571
1 62 751
1 63 917
1 64 875
1 65 552
1 66 874
1 67 913
1 68 305
1 69 623
1 70 292
1 71 586
1 72 870
1 73 990
1 74 424
1 75 700
1 76 541
1 77 944
1 78 666
1 79 677
1 80 332
1 81 836
1 82 938
1 83 729
1 84 158
1 85 317
1 86 607
1 87 947
1 88 494
1 89 547
1 90 173
1 91 155
1 92 794
1 93 256
1 94 314
1 95 556
1 96 933
1 97 868
1 98 142
1 99 480
1 100 132
2 3 74
2 4 800
2 5 780
2 6 116
2 7 557
2 8 737
2 9 667
2 10 482
2 11 766
2 12 292
2 13 34
2 14 511
2 15 925
2 16 419
2 17 570
2 18 915
2 19 700
2 20 698
2 21 202
2 22 248
2 23 181
2 24 958
2 25 672
2 26 964
2 27 123
2 28 138
2 29 287
2 30 362
2 31 596
2 32 251
2 33 141
2 34 892
2 35 481
2 36 535
2 37 367
2 38 579
2 39 479
2 40 191
2 41 191
2 42 513
2 43 549
2 44 268
2 45 869
2 46 680
2 47 963
2 48 604
2 49 764
2 50 584
2 51 375
2 52 891
2 53 151
2 54 418
2 55 604
2 56 248
2 57 515
2 58 755
2 59 32
2 60 909
2 61 402
2 62 999
2 63 795
2 64 870
2 65 122
2 66 81
2 67 193
2 68 624
2 69 845
2 70 129
2 71 988
2 72 332
2 73 892
2 74 103
2 75 507
2 76 38
2 77 263
2 78 623
2 79 733
2 80 797
2 81 700
2 82 482
